Type,Arrival Date,Main Cabin Seats,Flight Number,Destination Code,Origin Airport,Miner Points,Origin Code,Business Class Price,Main Cabin Price,Departing Time,Duration,Surcharge,Origin Airport Lounge,Distance,Time Zone Difference,Arrival Time,Departing Date,Origin Airport State,Origin Airport Country,Origin Airport Fee,Destination Airport City,Food Served,Destination Airport State,Destination Airport Country,Destination Airport Fee,Destination Airport Lounge,Route Cost,Total Seats,ID,First Class Seats,Destination Airport,Business Class Seats,Origin Airport City,First Class Price,First Class Seats Sold,Business Class Seats Sold,Main Cabin Seats Sold, Total First Class Revenue,Total Business Class Revenue,Total Main Cabin Revenue
International,3/23/2023,104,23788,ELP,Tokyo Haneda Airport,15966,HND,3763,739,5:30 AM,725,14,TRUE,5322,-16,1:35 AM,3/23/2023,Honshu,Japan,6,El Paso,TRUE,Texas,United States,3.5,FALSE,51367,166,88,15,El Paso International Airport,47,Tokyo,5990,3,1,67,189647.1674999999,186595.18175,124748.68562499995
Domestic,3/24/2023,85,23191,DFW,El Paso International Airport,1102,ELP,664,355,5:30 AM,94,0,FALSE,551,1,8:04 AM,3/24/2023,Texas,United States,3.5,Dallas,FALSE,Texas,United States,3,TRUE,11686,138,91,9,Dallas/Ft. Worth International Airport,44,El Paso,2852,0,17,72,358417.60849999974,131985.71712500005,69507.19418750002
Domestic,3/24/2023,94,23494,ELP,Dallas/Ft. Worth International Airport,1102,DFW,668,348,5:30 AM,94,0,TRUE,551,-1,6:04 AM,3/24/2023,Texas,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,19082,153,94,15,El Paso International Airport,44,Dallas,2265,1,0,68,229697.68749999994,91813.04075000004,22512.045500000007
Domestic,3/24/2023,86,23797,LAX,El Paso International Airport,1428,ELP,764,455,5:30 AM,113,0,FALSE,714,-1,6:23 AM,3/24/2023,Texas,United States,3.5,Los Angeles,FALSE,California,United States,4,TRUE,14000,156,97,13,Los Angeles International Airport,57,El Paso,3090,2,8,94,199758.12200000003,133278.54124999998,52740.12150000002
Domestic,3/24/2023,101,231100,ELP,Los Angeles International Airport,1428,LAX,747,373,5:30 AM,113,0,TRUE,714,1,8:23 AM,3/24/2023,California,United States,4,El Paso,FALSE,Texas,United States,3.5,FALSE,10513,172,100,13,El Paso International Airport,58,Los Angeles,3339,0,7,91,323726.98762499983,180983.72406249988,31277.808750000004
Domestic,3/24/2023,97,234103,ORD,El Paso International Airport,2470,ELP,632,455,5:30 AM,176,0,FALSE,1235,1,9:26 AM,3/24/2023,Texas,United States,3.5,Chicago,FALSE,Illinois,United States,4.5,TRUE,10706,173,103,15,Chicago International Airport,61,El Paso,2996,3,14,69,266754.3425,221268.82549999986,78592.96250000002
Domestic,3/24/2023,104,237106,ELP,Chicago International Airport,2470,ORD,946,471,5:30 AM,176,0,TRUE,1235,-1,7:26 AM,3/24/2023,Illinois,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,19778,169,106,9,El Paso International Airport,56,Chicago,3468,0,3,70,140081.06675,86501.10837499995,39285.81487499997
Domestic,3/24/2023,101,231109,ATL,El Paso International Airport,2560,ELP,665,205,5:30 AM,181,0,FALSE,1280,2,10:31 AM,3/24/2023,Texas,United States,3.5,Atlanta,FALSE,Georgia,United States,4.5,TRUE,11291,175,109,13,Hartsfield-Jackson Atlanta International Airport,61,El Paso,1294,0,0,75,220397.4348749999,91534.30099999998,55779.64143749997
Domestic,3/24/2023,102,234112,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,1045,516,5:30 AM,181,0,TRUE,1280,-2,6:31 AM,3/24/2023,Georgia,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,10990,170,112,13,El Paso International Airport,55,Atlanta,2762,0,1,65,417196.2687500002,103303.19668749999,57712.20599999996
Domestic,3/24/2023,89,237115,JFK,El Paso International Airport,3806,ELP,855,183,5:30 AM,256,0,FALSE,1903,2,11:46 AM,3/24/2023,Texas,United States,3.5,New York,FALSE,New York,United States,6,TRUE,16215,141,115,8,John F. Kennedy International Airport,44,El Paso,2183,0,24,85,385412.3752500003,177740.92350000003,68277.14550000006
Domestic,3/24/2023,91,231118,ELP,John F. Kennedy International Airport,3806,JFK,639,175,5:30 AM,256,0,TRUE,1903,-2,7:46 AM,3/24/2023,New York,United States,6,El Paso,FALSE,Texas,United States,3.5,FALSE,12213,147,118,9,El Paso International Airport,47,New York,1494,0,6,104,160134.08299999998,118061.26249999997,32656.982249999986
Domestic,3/24/2023,102,234121,BOS,El Paso International Airport,4128,ELP,810,375,5:30 AM,275,0,FALSE,2064,2,12:05 PM,3/24/2023,Texas,United States,3.5,Boston,FALSE,Massachusetts,United States,3,TRUE,11994,155,121,13,Boston Logan International Airport,40,El Paso,1494,0,0,73,320498.71625,176399.61487500006,64484.57425000002
Domestic,3/24/2023,89,237124,ELP,Logan International Airport,4128,BOS,1000,476,5:30 AM,275,0,TRUE,2064,2,12:05 PM,3/24/2023,Massachusetts,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,15119,157,124,14,El Paso International Airport,54,Boston,2141,3,8,67,253576.91500000004,105124.82231250004,19776.373000000003
Domestic,3/24/2023,96,231127,LAS,El Paso International Airport,1164,ELP,738,491,5:30 AM,97,0,FALSE,582,-1,6:07 AM,3/24/2023,Texas,United States,3.5,Las Vegas,FALSE,Nevada,United States,3.5,TRUE,17071,156,127,9,Harry Reid International Airport,51,El Paso,2982,-4,7,56,473212.8221250001,607745.6425000001,273490.98575
Domestic,3/24/2023,104,234130,ELP,Harry Reid International Airport,1164,LAS,605,436,5:30 AM,97,0,TRUE,582,1,8:07 AM,3/24/2023,Nevada,United States,3.5,El Paso,FALSE,Texas,United States,3.5,FALSE,16242,170,130,11,El Paso International Airport,55,Las Vegas,1334,0,4,74,1899354.7128749995,644816.6986875001,129672.077625
International,3/24/2023,92,237133,LHR,El Paso International Airport,15444,ELP,3718,1190,5:30 AM,645,13,FALSE,5148,7,11:15 PM,3/24/2023,Texas,United States,3.5,London,TRUE,United Kingdom,England,5,TRUE,66329,157,133,15,Heathrow Airport,50,El Paso,5158,0,7,91,785373.240625,673912.7336250001,115698.44206249996
International,3/24/2023,85,231136,ELP,Heathrow Airport,15444,LHR,3417,1337,5:30 AM,645,13,FALSE,5148,-7,9:15 AM,3/24/2023,United Kingdom,England,5,El Paso,TRUE,Texas,United States,3.5,FALSE,72726,154,136,9,El Paso International Airport,60,London,11274,0,0,67,1211172.2082500006,429288.92737499997,103298.05637499999
International,3/24/2023,99,234139,MEX,Abraham Gonzalez International Airport,2871,CJS,3092,761,5:30 AM,142,3,FALSE,957,1,8:52 AM,3/24/2023,Chihuahua,Mexico,2.5,Ciudad de Mexico,TRUE,Distrito Federal,Mexico,4.5,FALSE,71871,166,139,11,Aeropuerto Internacional Benito Juarez,56,Juarez,5249,0,1,53,542893.3003749999,665085.3836875003,130045.48106250001
International,3/24/2023,102,237142,CJS,Aeropuerto Internacional Benito Juarez,2871,MEX,4681,936,5:30 AM,142,3,FALSE,957,-1,6:52 AM,3/24/2023,Distrito Federal,Mexico,4.5,Juarez,TRUE,Chihuahua,Mexico,2.5,FALSE,56292,174,142,11,Abraham Gonzalez International Airport,61,Ciudad de Mexico,5956,0,0,64,865104.7389999996,329826.9543750002,88397.90112500003
Domestic,3/24/2023,86,231145,LAX,Orlando International Airport,3854,ORL,1042,296,5:30 AM,281,0,TRUE,1927,-3,7:11 AM,3/24/2023,Florida,United States,5,Los Angeles,FALSE,California,United States,4,TRUE,70024,149,145,8,Los Angeles International Airport,55,Orlando,1395,0,0,63,1021242.5338750004,728635.4626874998,159861.64206249997
Domestic,3/24/2023,87,234148,ORL,Los Angeles International Airport,3854,LAX,938,454,5:30 AM,281,0,TRUE,1927,3,1:11 PM,3/24/2023,California,United States,4,Orlando,FALSE,Florida,United States,5,TRUE,71901,148,148,11,Orlando International Airport,50,Los Angeles,1631,0,10,73,750782.8385000001,548504.3605624996,215646.4076875
Domestic,3/24/2023,97,237151,LAX,Logan International Airport,4538,BOS,649,386,5:30 AM,326,0,TRUE,2269,-3,7:56 AM,3/24/2023,Massachusetts,United States,3,Los Angeles,TRUE,California,United States,4,TRUE,51587,168,151,15,Los Angeles International Airport,56,Boston,2565,0,8,90,425297.85912499996,377599.8993124999,156650.51556249996
Domestic,3/24/2023,87,231154,BOS,Los Angeles International Airport,4538,LAX,954,513,5:30 AM,326,0,TRUE,2269,3,1:56 PM,3/24/2023,California,United States,4,Boston,TRUE,Massachusetts,United States,3,TRUE,51892,145,154,15,Boston Logan International Airport,43,Los Angeles,1324,0,3,68,593421.6725000001,283001.47131249995,151326.62106250005
International,3/24/2023,104,234157,CUN,El Paso International Airport,3687,ELP,4056,1221,5:30 AM,190,4,FALSE,1229,2,10:40 AM,3/24/2023,Texas,United States,3.5,Cancun,TRUE,Quintana Roo,Mexico,4,TRUE,76340,179,157,11,Cancun International Airport,64,El Paso,8723,0,7,89,1186580.5397500005,887534.4951250005,246976.57343750005
International,3/24/2023,102,237160,ELP,Cancun International Airport,3687,CUN,4527,1276,5:30 AM,190,4,TRUE,1229,-2,6:40 AM,3/24/2023,Quintana Roo,Mexico,4,El Paso,TRUE,Texas,United States,3.5,FALSE,71648,172,160,10,El Paso International Airport,60,Cancun,4364,2,0,84,397747.37750000006,487809.926875,246801.16424999994
International,3/24/2023,102,231163,YYZ,El Paso International Airport,4347,ELP,5025,967,5:30 AM,219,4,FALSE,1449,2,11:09 AM,3/24/2023,Texas,United States,3.5,Toronto,TRUE,Ontario,Canada,4,TRUE,57452,158,163,9,Toronto Pearson International Airport,47,El Paso,5671,0,1,85,318377.60612499993,93846.82218750002,20138.81612499999
International,3/24/2023,97,234166,ELP,Toronto Pearson International Airport,4347,YYZ,4244,1281,5:30 AM,219,4,TRUE,1449,-2,7:09 AM,3/24/2023,Ontario,Canada,4,El Paso,TRUE,Texas,United States,3.5,FALSE,64960,146,166,8,El Paso International Airport,41,Toronto,7342,0,5,94,219835.79374999992,103525.75450000004,35160.876000000004
International,3/25/2023,103,237169,CDG,El Paso International Airport,13986,ELP,4575,1196,5:30 AM,639,12,FALSE,4662,8,12:09 AM,3/24/2023,Texas,United States,3.5,Paris,TRUE,Ill de France,France,5,TRUE,67763,176,169,12,Paris Charles de Gaulle Airport,61,El Paso,8683,5,7,88,352679.1320000001,133116.72168750002,60383.893
International,3/24/2023,96,231172,ELP,Paris Charles de Gaulle Airport,13986,CDG,3179,874,5:30 AM,639,12,TRUE,4662,-8,8:09 AM,3/24/2023,Ill de France,France,5,El Paso,TRUE,Texas,United States,3.5,FALSE,54532,153,172,15,El Paso International Airport,42,Paris,6895,0,9,53,330308.45700000005,112337.51412499999,85386.9150625
International,3/25/2023,104,234175,HND,El Paso International Airport,15966,ELP,3300,801,5:30 AM,725,14,FALSE,5322,16,9:35 AM,3/24/2023,Texas,United States,3.5,Tokyo,TRUE,Honshu,Japan,6,TRUE,75881,177,175,11,Tokyo Haneda Airport,62,El Paso,8723,-3,7,76,313032.23450000014,169513.85099999994,33653.54224999997
International,3/24/2023,90,237178,ELP,Tokyo Haneda Airport,15966,HND,3018,1263,5:30 AM,725,14,TRUE,5322,-16,1:35 AM,3/24/2023,Honshu,Japan,6,El Paso,TRUE,Texas,United States,3.5,FALSE,51367,148,178,13,El Paso International Airport,45,Tokyo,8459,4,11,81,170583.49725,127194.08962500007,76576.21774999998
Domestic,3/25/2023,93,231181,DFW,El Paso International Airport,1102,ELP,1145,173,5:30 AM,94,0,FALSE,551,1,8:04 AM,3/25/2023,Texas,United States,3.5,Dallas,FALSE,Texas,United States,3,TRUE,11686,163,181,9,Dallas/Ft. Worth International Airport,61,El Paso,2218,4,10,82,122364.74799999998,102496.66787499996,38292.60024999999
Domestic,3/25/2023,94,234184,ELP,Dallas/Ft. Worth International Airport,1102,DFW,977,358,5:30 AM,94,0,TRUE,551,-1,6:04 AM,3/25/2023,Texas,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,19082,155,184,11,El Paso International Airport,50,Dallas,2966,-5,5,70,108781.42725,122544.11381250003,80777.60612500002
Domestic,3/25/2023,99,237187,LAX,El Paso International Airport,1428,ELP,771,220,5:30 AM,113,0,FALSE,714,-1,6:23 AM,3/25/2023,Texas,United States,3.5,Los Angeles,FALSE,California,United States,4,TRUE,14000,172,187,10,Los Angeles International Airport,63,El Paso,1964,2,0,87,131642.18649999998,141151.64999999997,118868.3121250001
Domestic,3/25/2023,91,231190,ELP,Los Angeles International Airport,1428,LAX,1054,413,5:30 AM,113,0,TRUE,714,1,8:23 AM,3/25/2023,California,United States,4,El Paso,FALSE,Texas,United States,3.5,FALSE,10513,156,190,8,El Paso International Airport,57,Los Angeles,2260,0,9,72,234104.55437499998,216358.1122500002,50564.490062500015
Domestic,3/25/2023,98,234193,ORD,El Paso International Airport,2470,ELP,628,214,5:30 AM,176,0,FALSE,1235,1,9:26 AM,3/25/2023,Texas,United States,3.5,Chicago,FALSE,Illinois,United States,4.5,TRUE,10706,147,193,9,Chicago International Airport,40,El Paso,1324,-2,7,82,126629.6729999999,157387.27625,21623.4186875
Domestic,3/25/2023,86,237196,ELP,Chicago International Airport,2470,ORD,1045,381,5:30 AM,176,0,TRUE,1235,-1,7:26 AM,3/25/2023,Illinois,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,19778,160,196,13,El Paso International Airport,61,Chicago,2451,0,6,64,90998.45962500002,145409.68068749996,49169.47181250002
Domestic,3/25/2023,88,231199,ATL,El Paso International Airport,2560,ELP,1004,477,5:30 AM,181,0,FALSE,1280,2,10:31 AM,3/25/2023,Texas,United States,3.5,Atlanta,FALSE,Georgia,United States,4.5,TRUE,11291,144,199,12,Hartsfield-Jackson Atlanta International Airport,44,El Paso,3343,0,0,65,364348.82025,727246.6676249998,103555.482875
Domestic,3/25/2023,93,234202,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,818,131,5:30 AM,181,0,TRUE,1280,-2,6:31 AM,3/25/2023,Georgia,United States,4.5,El Paso,FALSE,Texas,United States,3.5,FALSE,10990,154,202,15,El Paso International Airport,46,Atlanta,1394,0,9,81,1131691.53475,688598.0829375001,255978.1445
Domestic,3/25/2023,89,237205,JFK,El Paso International Airport,3806,ELP,773,265,5:30 AM,256,0,FALSE,1903,2,11:46 AM,3/25/2023,Texas,United States,3.5,New York,FALSE,New York,United States,6,TRUE,16215,158,205,10,John F. Kennedy International Airport,59,El Paso,2055,1,6,75,956183.0838750002,1147530.7646249998,171547.36075000005
Domestic,3/25/2023,91,231208,ELP,John F. Kennedy International Airport,3806,JFK,837,248,5:30 AM,256,0,TRUE,1903,-2,7:46 AM,3/25/2023,New York,United States,6,El Paso,FALSE,Texas,United States,3.5,FALSE,12213,146,208,11,El Paso International Airport,44,New York,3314,0,7,73,767595.266125,779024.9019999995,114549.40200000005
Domestic,3/25/2023,104,234211,BOS,El Paso International Airport,4128,ELP,1135,332,5:30 AM,275,0,FALSE,2064,2,12:05 PM,3/25/2023,Texas,United States,3.5,Boston,FALSE,Massachusetts,United States,3,TRUE,11994,176,211,15,Boston Logan International Airport,57,El Paso,3067,0,3,59,595086.1839999999,1030383.8759999998,202125.0221249999
Domestic,3/25/2023,88,237214,ELP,Logan International Airport,4128,BOS,712,532,5:30 AM,275,0,TRUE,2064,2,12:05 PM,3/25/2023,Massachusetts,United States,3,El Paso,FALSE,Texas,United States,3.5,FALSE,15119,159,214,13,El Paso International Airport,58,Boston,3035,-7,2,59,216738.22749999992,752749.9474999997,151044.24699999994
Domestic,3/25/2023,97,231217,LAS,El Paso International Airport,1164,ELP,1032,277,5:30 AM,97,0,FALSE,582,-1,6:07 AM,3/25/2023,Texas,United States,3.5,Las Vegas,FALSE,Nevada,United States,3.5,TRUE,17071,151,217,9,Harry Reid International Airport,45,El Paso,2788,0,0,61,853691.4782499999,824717.0384999999,152849.8924375
Domestic,3/25/2023,94,234220,ELP,Harry Reid International Airport,1164,LAS,1143,304,5:30 AM,97,0,TRUE,582,1,8:07 AM,3/25/2023,Nevada,United States,3.5,El Paso,FALSE,Texas,United States,3.5,FALSE,16242,146,220,12,El Paso International Airport,40,Las Vegas,2072,3,0,77,551980.4597500002,718902.0017499998,141163.95987499997
International,3/25/2023,88,237223,LHR,El Paso International Airport,15444,ELP,3360,1154,5:30 AM,645,13,FALSE,5148,7,11:15 PM,3/25/2023,Texas,United States,3.5,London,TRUE,United Kingdom,England,5,TRUE,66329,148,223,12,Heathrow Airport,48,El Paso,11968,0,1,53,932988.1047499997,821243.067875,182777.04275000014
International,3/25/2023,100,231226,ELP,Heathrow Airport,15444,LHR,5142,959,5:30 AM,645,13,FALSE,5148,-7,9:15 AM,3/25/2023,United Kingdom,England,5,El Paso,TRUE,Texas,United States,3.5,FALSE,72726,151,226,9,El Paso International Airport,42,London,5081,0,4,75,1780484.693749999,536429.2619999998,259113.154875
